name,team,position,week,outlook
Jordan Love,Packers,QB,6,"Jordan Love and the Packers' offense will look to shake off some rust against the Cardinals in Week 6. In each of his two appearances since returning from an MCL sprain, Love has logged unsteady first halfs, including a pick-six thrown in the endzone to close out the second quarter of Green Bay's narrow Week 5 win over the Rams. With five interceptions in three games this season, Love is operating at a more mistake-prone level than is sustainable, but that can be at least partially explained by the unique circumstances of the Packers' start to 2024. Despite suffering a serious knee injury Week 1 in Brazil, Love has managed to steer Green Bay's offense into scoring position consistently. He'll look to fall into a better rhythm at home versus Arizona."
Geno Smith,Seahawks,QB,6,"Geno Smith completed 28 of 40 passing attempts for 284 yards and a touchdown last weekend. He added four rushing attempts for 72 yards, though he was sacked seven times. Seattle's passing attack has been prolific in 2024, and Smith leads the league with 39.8 passing attempts and 293.3 passing yards per game. Smith is a solid fantasy option moving forward so long as Seattle continues to throw the ball at such a high rate. In Week 6, Seattle has a divisional matchup against the 49ers. San Francisco's defense has allowed 197 passing yards per game this season, 12th best in the league."
Kyler Murray,Cardinals,QB,6,"Kyler Murray completed 19 of 30 passing attempts last weekend, throwing for 195 yards and one touchdown. Murray's best work came on the ground, and his 50 yard touchdown run headlined a day where he rushed seven times for 83 total yards. Murray's scrambling ability is a welcome boost to his fantasy floor, and his 247 rushing yards this season ranks third among quarterbacks in 2024. In Week 6, Murray figures to be a strong fantasy option as the Cardinals face off against the Packers. Green Bay has allowed 232 passing yards per game this season, ranking 23rd in the league."
C.J. Stroud,Texans,QB,6,"C.J. Stroud combined to throw for 676 yards in Weeks 4 and 5, but he could be without top target Nico Collins (hamstring) for the Texans' Week 6 trip to New England. Collins leads the NFL with 567 receiving yards, but Stroud still has enough playmakers at his disposal to be effective against a Patriots secondary that has allowed over 250 passing yards per game but only a 4:2 TD:INT. Houston is heavily favored and could lean more on the running game while playing with the lead, especially if starting RB Joe Mixon (ankle) returns, but Stroud's fantasy managers can safely deploy him as they usually would."
Baker Mayfield,Buccaneers,QB,6,"Baker Mayfield completed 19 of 24 passing attempts for 180 yards and three touchdowns in Week 5. Mayfield added an additional 42 rushing yards on 6 carries. Mayfield has been very efficient this season, throwing for 11 touchdowns and just two interceptions through his first five starts. In Week 6, Tampa Bay faces off against the Saints. This is a solid matchup for Mayfield, as New Orleans have allowed 234 passing yards per game in 2024, ranking 24th in the league."
Saquon Barkley,Eagles,RB,6,"Saquon Barkley has gone over 100 scrimmage yards in every game thus far this season for the Eagles. Barkley is averaging six yards per rush and over seven yards per reception in 2024. Without the services of A.J. Brown and DeVonta Smith, the Philadelphia offense has had to lean even more heavily on Barkley. Even if those playmakers return in Week 6 versus the Browns, Barkley should still garner double-digit touches easily. Cleveland's run defense has also been rather suspect in 2024. The Browns are allowing 141.6 rushing yards per tilt, which is 25th in the league. In addition, Cleveland has yielded eight rushing scores, which is tied for 28th in the NFL."
Derrick Henry,Ravens,RB,6,"Derrick Henry recorded his fewest touches (16) since Week 1 in Baltimore's Week 5 wins over the Bengals, though he still provided a key 51-yard gain to seal the team's victory in overtime. In addition to his locked-in workload, Henry also has at least one touchdown in every game this season. That gives him among the safest floors at the position heading into a Week 6 matchup against the Commanders, who have allowed a league-high 5.28 yards per attempt to opposing running backs."
Trevor Lawrence,Jaguars,QB,6,"Trevor Lawrence ended a nine-game losing streak on his 25th birthday in Jacksonville's Week 5 win over the Colts, throwing for 371 yards after averaging only 182.3 in the previous four games. He'll try to carry the momentum into a Week 6 London matchup against a Bears team led by Caleb Williams, whom Chicago drafted first overall in 2024, three years after Lawrence went first overall to Jacksonville. The stout Bears secondary has held QBs to a 2:6 TD:INT, so Lawrence isn't a recommended Week 6 fantasy play, but QB-needy managers should consider stashing him on the bench in case his strong Week 5 play was an indication of Lawrence turning the corner."
Alvin Kamara,Saints,RB,6,"Alvin Kamara struggled in Week 5, rushing 11 times for just 26 yards. It was Kamara's worst rushing performance of the season, but he managed to be productive as a receiver, catching six of his eight targets for 40 yards. Kamara has dominated the backfield touches in the Saints' offense the past three games, and his near 20-percent target share is very strong. He remains a strong fantasy option moving forward as New Orleans faces off against the Buccaneers in Week 6. Tampa Bay has allowed 120 rushing yards per game, ranking 16th in the league. The Buccaneers have allowed 4.9 yards per rushing attempt, 6th most in the league."
Caleb Williams,Bears,QB,6,"Caleb Williams and the Bears will look to keep up their momentum against the Jaguars in London in Week 6. The rookie No. 1 overall pick put forth the best game of his young career during Chicago's 36-10 win over the Panthers, even if he technically compiled greater passing yards Week 3 versus the Colts. Against Carolina, Williams completed 20 of 29 passes for 304 yards and two touchdowns, becoming the first Bears signal-caller since the 1966 AFL-NFL merger to log multiple 300-yard games as a rookie. He added five rushes for 34 yards against the Panthers and also had a one-yard touchdown run nullified by. In addition to flashing real playmaking ability, Williams looked poised and consistent in Week 5, avoiding the types of mental errors that held him back early in the season. Chicago's matchup against the Jaguars in London will provide Williams a nice opportunity to keep his momentum up."
Aaron Rodgers,Jets,QB,6,"Aaron Rodgers increased his passing attempts in every Jets game, throwing 96 total times in Weeks 4 and 5. It's yielded two touchdowns in three of his last four outings, but Rodgers also has topped 244 yards just once. He's dealing with an ankle injury and faces a Bills defense in Week 6 that's allowing a stingy 215.0 yards per game, leaving Rodgers to deep league streaming."
Bo Nix,Broncos,QB,6,"Bo Nix's development curve continues to accelerate, as he threw multiple touchdowns passes for the first time in Week 5 to lead the Broncos to a win over the Raiders. The 12th overall pick in the 2024 Draft has led his team to three straight wins, completing 63.6% of his passes without committing a turnover. Nix still isn't stretching the field much as he didn't have a completion of 20 yards or longer against Las Vegas. He'll look to keep the Broncos rolling in Week 6 as a bye week streamer against a Chargers defense yielding a 72.5% completion rate, 31st in the league, but which ranks 10th with 188.5 passing yards per game allowed."
Bijan Robinson,Falcons,RB,6,"Bijan Robinson heads to Carolina in Week 6 looking for a bigger share of the workload against the league's most generous defense to running backs. Robinson had only 12 rushes in Week 5 as Kirk Cousins had 62 dropbacks in Atlanta's overtime win against the Buccaneers. Robinson likely will be more involved this week, if for no other reason than game script -- a fourth-quarter lead likely will give Robinson more carries as the Falcons look to burn clock. Robinson should also have more success against a weak Panthers run defense, which has allowed a league-leading nine rushing touchdowns to running backs this year."
Jared Goff,Lions,QB,6,"Jared Goff and the Lions, fresh off a bye, will look to stay hot against the Cowboys in Week 6. When last on the field, Goff set an NFL record in a Monday night win over Seattle, when he completed 18 of 18 pass attempts for 292 yards with two touchdowns, without an interception. Goff became the first QB in NFL history to finish with a perfect completion percentage on more than 10 attempts and with over 200 passing yards, and that's discounting the fact that he caught a seven-yard touchdown pass on his only target. Detroit's passing game had gotten off to a slow start, but Goff's immaculate Week 4 performance could be a real sign of better things to come, especially if OC Ben Johnson can hone in on some scheme adjustments during the bye. Goff is coming off back-to-back games with two passing touchdowns, and he'll get the benefit of facing a Cowboys defense that will be without DeMarcus Lawrence, and likely also Micah Parsons."
D'Andre Swift,Bears,RB,6,"D'Andre Swift and the Bears will travel to London in Week 6, with a chance to keep their momentum up against the Jaguars. After a miserable start to the year, Swift has now piled up 285 yards from scrimmage in his last two appearances. He rushed 21 times for 73 yards and a touchdown during Chicago's 36-10 win over the Panthers, while also securing both targets for another 47 yards through the air. Swift could've had an even bigger game against Carolina, as he had a one-yard touchdown run nullified by penalty in the second quarter, only to then have Roschon Johnson score on the same drive. A favorable matchup against Jacksonville puts Swift in good position to keep up his momentum overseas."
Joe Mixon,Texans,RB,6,"Joe Mixon hasn't played since Week 2 due to an ankle injury, but he has a chance to return for what would be a juicy Week 6 matchup against a Patriots defense that has allowed 137.2 scrimmage yards per game and five rushing TDs to RBs. The Texans have gone with a mix of Cam Akers and Dare Ogunbowale during the absences of Mixon and Dameon Pierce (hamstring), but Mixon should return to a workhorse role once healthy considering he handled 30 carries in his Houston debut. He'll be a fantasy RB1 if cleared to return, while no other Houston RB has proven capable of producing better than low-end RB2 numbers in Mixon's absence thus far."
Kenneth Walker III,Seahawks,RB,6,"Kenneth Walker only received five carries over the weekend for 19 rushing yards. Seattle only had 11 carries as a team, but Walker made up for the lack of rushing work with seven receptions off of eight targets for 57 yards. Walker continued to play the majority of Seattle's snaps ahead of Zach Charbonnet. It's promising to see Seattle committed to getting Walker the ball in both the rushing and receiving game, as well. In Week 6, Walker and the Seahawks face off against the 49ers. San Francisco's run defense has allowed 111 rushing yards per game in 2024, ninth best in the league."
Joe Flacco,Colts,QB,6,"Joe Flacco threw for 527 yards and a 5:0 TD:INT while filling in for Anthony Richardson (oblique) for part of Week 4 and all of Week 5. Flacco looks like he still has plenty of gas left in the tank at age 39, but even if he gets another start for the Colts in Week 6, he will struggle to keep posting prolific numbers against a Titans defense that's allowing the fewest passing yards per game in the NFL. Flacco will certainly be an option in superflex and two-QB formats if Richardson's ruled out again, but he falls outside the QB1 range."
Will Levis,Titans,QB,6,"Will Levis sprained the AC joint in his throwing shoulder in Week 4, and he hasn't resumed practicing coming out of Tennessee's Week 5 bye. He still has a chance to return and start against the Colts in Week 6, but Levis would be no better than a low-end QB2 if he plays, even against an Indianapolis defense that's allowing a league-high 419.2 scrimmage yards per game. Levis has turned the ball over nine times in fewer than 13 quarters of play this season and averaged only 193 passing yards per game in his three full games. Mason Rudolph would start if Levis sits."
Andy Dalton,Panthers,QB,6,"Andy Dalton will start Week 6 vs. the Falcons after being replaced by Bryce Young late in last week's game. Dalton could get nothing going in Week 5's loss to the Bears, throwing for 136 yards, no touchdowns and one interception. Young came into the game with about four minutes remaining, but coach Dave Canales said afterward that Dalton is still QB1. Dalton faces a Falcons defense that has been middle of the road against fantasy quarterbacks, but that's probably enough to stifle the Panthers' weak passing attack."
Jahmyr Gibbs,Lions,RB,6,"Jahmyr Gibbs will look to keep up his momentum in the running game as Detroit prepares for a Week 6 matchup against the Cowboys. The dynamic second-year pro has scored four times in as many games to kick off the 2024 regular season and is averaging an excellent 5.3 yards per carry. Gibbs has just 76 receiving yards on the season, demonstrating that his usage in the passing game hasn't exactly lived up to projections, but he's nonetheless averaging just over 100 scrimmage yards per contest. Both Gibbs and backfield mate David Montgomery have logged double-digit rush attempts in each of the Lions games this season, so a week of rest could benefit both versus a Dallas defense that ranks bottom-10 against the run."
Deshaun Watson,Browns,QB,6,"Deshaun Watson's disastrous start to the 2024 season for Cleveland continued in Week 5 against the Commanders as he has yet to average more than 5.5 yards per attempt in any game. The end result has been Watson failing to reach 200 passing yards in any matchup while tallying multiple touchdowns just once. Though he's heading into a Week 6 matchup against an Eagles' defense that was most recently exploited by Baker Mayfield, there's no way to confidently start Watson."
Aidan O'Connell,Raiders,QB,6,"Aidan O'Connell replaced Gardner Minshew late in the Raiders Week 5 loss to the Broncos, the second time in the last three games he's been handed the reins. As yet, Raiders head coach Antonio Pierce has declined to name a starter for Week 6, but O'Connell appears to be on the verge of getting his first start of 2024. Unfortunately, he might be taking over at the worst possible time, as Davante Adams could be traded before the team takes the field again, leaving Las Vegas with one of the league's weakest wide receiver groups. If he is under center in Week 6, O'Connell will face a Steelers defense that ranks 10th in QB rating against."
Drake London,Falcons,WR,6,"Drake London heads to Carolina in Week 6 looking for another big game after last week's career day. London had career highs in targets (13) and catches (12) in Atlanta's Week 5 overtime win against the Buccaneers, totaling 154 yards and a touchdown. The Falcons aren't likely to throw 58 times again, but London has had at least nine targets in three consecutive games, so it's possible he approaches double-digit targets again. The weak Panthers defense is bottom 10 in most receiving stats vs. wide receivers this season."
Tony Pollard,Titans,RB,6,"Tony Pollard has 61 carries to Tyjae Spears' 29 through the Titans' first four games, and Pollard should continue to lead Tennessee's backfield in a favorable Week 6 matchup against a Colts defense that has allowed 827 scrimmage yards to RBs, second-most in the NFL. He's fresh with the Titans coming out of a Week 5 bye and will be a high-end RB2 regardless of whether Will Levis (shoulder) or Mason Rudolph starts at QB. Pollard should remain heavily involved even if the Titans fall behind, as he also leads the team with 13 receptions."
CeeDee Lamb,Cowboys,WR,6,"CeeDee Lamb has yet to cross the 100-yard receiving mark in a game this season. Lamb caught five passes for 62 yards last game for Dallas. However, Lamb has at least seven targets in every contest. Lamb will look to cross the 100-yard plateau in Week 6 versus a Lions defense that has been surprisingly suspect against the pass in 2024. Detroit is allowing 258.3 passing yards per tilt this season, which is 27th in the league. However, Detroit has only allowed four passing touchdowns through four contests, which is tied for seventh in the NFL."
Jordan Mason,49ers,RB,6,"Jordan Mason rushed 14 times for 89 yards, and he caught his lone target for nine yards. Mason played in just 63-percent of the 49ers snaps over the weekend, his lowest snap share of the season. While Mason still figures to be San Francisco's primary option out of the backfield, Isaac Guerendo and Deebo Samuel getting carries is a slight negative impact for him moving forward. Mason is still a strong fantasy option heading into a Week 6 game against the Seahawks. Seattle's rushing defense is allowing 128 yards per game in 2024, ranking 20th in the league."
Josh Jacobs,Packers,RB,6,"Josh Jacobs will remain a featured piece of Green Bay's offense as the team prepares to host the Cardinals in Week 6. The veteran running back logged his second game of the season with 20-plus touches during Week 5's win over the Rams, in which he rushed 19 times for 73 yards and a touchdown and secured his lone target for 21 yards. Despite having already logged 90 carries through five appearances, Jacobs' rushing touchdown versus Los Angeles was also his first time reaching the end zone this season. Jacobs has been efficient on the year (4.5 YPC) and he's already logged as many runs of 20-plus yards (three) as he did in 13 games with the Raiders last season. He'll continue leading Green Bay's backfield, with Emanuel Wilson working in the No. 2 role, at home versus Arizona."
David Montgomery,Lions,RB,6,"David Montgomery will work to keep up his momentum Week 6 against a Cowboys defense that ranks bottom-10 against the run. The veteran running back has scored in all of Detroit's first four games this season, with both he and backfield mate Jahmyr Gibbs totaling four total TDs each on the year. Montgomery has already totaled 64 rush attempts (for 271 yards), so coming off a bye could well benefit him after a sizable early-season workload. Montgomery has also logged solid usage in the receiving game this year, including a career-long 40-yard reception (on his only target) against the Seahawks in Week 4. On the other hand, Gibbs has started seeing action in short-yardage work that Montgomery once dominated, and he turned in two rushing scores from inside the five-yard line Week 4. Both backs have been deployed relatively interchangeably early in the 2024 campaign, a development that sets Montgomery and Gibbs both up for success versus Dallas."
James Cook,Bills,RB,6,"James Cook's efficient usage is his greatest asset as he's coming off of a 22-touch outing in Week 5, despite a fourth-straight week where he's played 58% or fewer of the Bills offensive snaps. There's no reason to expect Cook's involvement to wane in Week 6's Monday night affair against the Jets, whose defense is yielding 4.2 yards per carry but is stingier against the pass. Cook remains a borderline RB1."
Chuba Hubbard,Panthers,RB,6,"Chuba Hubbard will aim for his third 100-yard rushing performance in his last four games Week 6 against the Falcons. Hubbard just missed triple digits in Week 5, rushing for 97 yards on 13 carries, including a 38-yard TD run. The Falcons are tough against the run, however, allowing the fourth-fewest fantasy points per game to running backs. After 17 touches last week, Hubbard needs his workload to return to the 24 touches he averaged the previous two games, including 11 in the red zone and five inside the 10-yard line."
Breece Hall,Jets,RB,6,Breece Hall has notched at least a 71% snap share in every game but has only 19 total carries for 27 combined yards over Weeks 4 and 5. Hall was a first-round pick; patience is warranted. Week 6 presents a favorable Week 6 Monday night matchup against a vulnerable Bills defense allowing 5.2 yards per carry.
Austin Ekeler,Commanders,RB,6,"Austin Ekeler racked up nearly 100 scrimmage yards last game for the Commanders. Ekeler rushed six times for 67 yards in the 34-13 win over the Browns, while also catching two passes for 30 yards out of the backfield. Unfortunately, Brian Robinson scored twice and Jeremy McNichols scored once, leaving Ekeler as the lone running back who failed to record a touchdown. In Week 6, Ekeler will face a Baltimore defense that has been extremely stingy against the run. Baltimore is allowing just 60.4 rushing yards per clash, which leads the NFL. However, Baltimore has surrendered five rushing touchdowns, which is tied for 18th in the league. Ekeler is much more likely to have success through the air, as Baltimore is allowing over 280 passing yards per tilt, which is 31st in the league."
James Conner,Cardinals,RB,6,"James Conner continued his strong season with 19 carries for 86 rushing yards, and he caught two of his three targets for 14 yards. Conner continues to be the primary option in Arizona's backfield, with Trey Benson occasionally playing a few snaps and Emari Demercado taking on some passing down work. With this type of workload, Conner is a reliable weekly fantasy starter. In Week 6, the Cardinals have a road trip to Green Bay. The Packers' run defense ranks 11th in the league this season, allowing 114 yards per game."
Ja'Marr Chase,Bengals,WR,6,"After a slow start to the season, Ja'Marr Chase has reestablished himself as one of the best pass catchers in the league by finding the end zone in each of the last three games while tallying no fewer than 85 receiving yards in that span. He was particularly productive in Cincinnati's Week 5 loss to the Ravens by tallying a pair of touchdown receptions of more than 40 yards. Chase now heads into a Week 6 matchup against the Giants, a defensive unit that has yet to allow a 100-yard receiver this season paired with only six touchdowns surrendered to opposing wide receivers in five games. Even if it's not the ideal opponent, Chase is an easy option to plug into fantasy lineups with high-end WR1 expectations."
Deebo Samuel Sr.,49ers,WR,6,"Deebo Samuel caught just one of his three targets for 11 yards over the weekend, and he added nine rushing yards off of three carries. This was Samuel's worst game of the season, and Brock Purdy preferred to target Brandon Aiyuk and George Kittle. Despite this poor performance, Samuel still played 52 of 64 offensive snaps, and the handful of rushing attempts he receives per game give a slight boost to his floor in fantasy. Samuel will look to have a stronger performance in San Francisco's Week 6 game against Seattle. The Seahawks have the seventh best passing defense in the league this season, allowing 183 yards per game."
Najee Harris,Steelers,RB,6,"Najee Harris operated as Pittsburgh's lead back by default against Dallas, as both Cordarrelle Patterson (ankle) and Jaylen Warren (knee) were sidelined. However, it was another poor performance, as he averaged just 3.0 yards per carry and has now averaged more than 4.0 yards per attempt in just one game this season. The good news is that he has salvaged his last two games with good efforts as a pass catcher, but career history suggests that won't be sustainable. If the Steelers' backfield remains depleted, Harris is a passable RB2 option in Week 6 against a Raiders defense that has allowed the second-most yards per carry in the league. If either of Warren and Patterson can return, it wouldn't be a surprise to see Harris lose work, so his fantasy viability will be dictated by the injury report."
Justin Herbert,Chargers,QB,6,"Justin Herbert played through an ankle injury for the early part of the Chargers' schedule, but the team's Week 5 bye may have given him a chance to get healthier. While he does have a respectable 64.8% completion rate and 5:1 TD:INT, his 6.4 yards per attempt is a career low. Young wideouts Ladd McConkey and Quentin Johnston have accounted for all five of those touchdowns, and Herbert's numbers could improve as they continue their development. He faces a stiff test in Week 6 against a Broncos defense that ranks fifth in the league with a 75.5 QB rating against."
Bucky Irving,Buccaneers,RB,6,"Bucky Irving had nine carries for 44 yards in Week 5, and he caught both of his targets for 12 yards. Irving had one fewer carry and target than Rachaad White, and he played in 23 offensive snaps compared to White's 34 snaps. While Irving has been more efficient than White in the running game, he has yet to pass White on the depth chart. But he's expected to handle the bulk of the backfield work Week 6 at the Saints as White is doubtful to play. The Saints rank seventh against the run, allowing 97 yards per game."
J.K. Dobbins,Chargers,RB,6,"J.K. Dobbins has logged double-digit carries in every game this season for the Chargers, an impressive accomplishment in itself given his checked injury history. The running back has done more than stay healthy though, as his 6.1 yards per carry is first in the NFL among RBs with at least 50 totes. Dobbins has emerged as the No. 1 back in a Greg Roman offense, a role that should keep him productive as long as he can stay on the field. In Week 6 he'll take on a Broncos defense that ranks in the top 10 in yards per carry allowed and rushing yards per game allowed."
Terry McLaurin,Commanders,WR,6,"Terry McLaurin crossed the 100-yard receiving mark for the second time in three games for the Commanders. McLaurin snagged four passes for 112yards in the 34-13 thrashing of the Browns. McLaurin has caught 15 passes for 262 yards and two touchdowns over the last three outings. In Week 6, McLaurin will face a Ravens defense that has been destroyed through the air. Baltimore is allowing an average of 280.2 passing yards per tilt, which is 31st in the NFL. In addition, the Ravens have allowed nine throwing scores, which is tied for 25th in the NFL. Last game, the Ravens surrendered 392 passing yards and five touchdowns through the air to Cincy quarterback Joe Burrow."
Tyrone Tracy Jr.,Giants,RB,6,"Tyrone Tracy rushed for 129 yards on 18 carries in place of the injured Devin Singletary, helping vault the New York Giants to a stunning win over the Seattle Seahawks. After fellow running back Eric Gray suffered a disastrous fumble on the goal line early in the game, the rookie Tracy took over and broke off several big runs for the G-Men en route to the career day. It remains to be seen if Singletary will be able to suit up for the Week 6 clash with the Bengals, but if he cannot, Tracy would likely be called upon again to shoulder the majority of the rushing load. Cincinnati has been abysmal against the run in 2024, allowing 151.4 yards per game on the ground, which is 30th in the league."
Garrett Wilson,Jets,WR,6,"Garrett Wilson drew a whopping 22 targets in Week 5 after collecting only 34 total opportunities through the Jets first four games, converting them into 13 catches for 101 yards and a touchdown. While the volume is welcomed, Week 5 marked the third straight game Wilson has gone for under 8.3 yards per reception and he has just two catches of 20-plus yards on the year. A Week 6 matchup against the Bills isn't encouraging as they have limited opposing passing games to just 6.2 yards per attempt, with only eight plays of 20 yards or greater. Still, volume keeps Wilson living in the WR1 neighborhood."
A.J. Brown,Eagles,WR,6,"A.J. Brown will have the benefit of the bye week to see if he can return to the field for a Week 6 clash with the Cleveland Browns. Philadelphia's passing attack looked lifeless without either Brown or DeVonta Smith in an ugly 33-16 loss to the Bucs prior to the bye. However, even if Brown can suit up, success is far from guaranteed. Cleveland is allowing just 184.4 passing yards per outing, which is eighth in the league."
Trey Sermon,Colts,RB,6,"Trey Sermon had 10 carries and six targets in Jonathan Taylor's (ankle) Week 5 absence against the Jaguars, presenting a blueprint for Sermon's potential Week 6 workload against the Titans with Taylor sidelined again by a high-ankle sprain. Sermon is likely to lead the Colts' backfield again in Week 6, with Tyler Goodson also mixing in after racking up five carries and three targets in Week 5. Sermon found the end zone in Week 5 and is a fantasy RB2 against a Titans defense that has allowed one rushing TD and a league-high three receiving TDs to RBs in four games."
Travis Etienne Jr.,Jaguars,RB,6,"Travis Etienne appears to have been supplanted by Tank Bigsby as Jacksonville's top RB on early downs, as Etienne rushed for 67 yards on 17 carries in Weeks 4 and 5 compared to Bigsby's 191 yards and two TDs on 20 carries over that span. Etienne had six catches in Week 5 against the Colts while Bigsby was targeted only once, so at least Etienne is still the backfield choice in passing situations. His contributions as a receiver could prove pivotal in Week 6 against a Bears defense that allowed the most receiving yards in the NFL to RBs last season, though Chicago has been about league average in receiving contributions allowed to RBs this season while giving up six rushing TDs to the position. With Bigsby encroaching significantly on his playing time and fantasy value, Etienne's a low-end RB2 or flex play in Week 6."
Brandon Aiyuk,49ers,WR,6,"Brandon Aiyuk caught eight of his 12 targets for 147 yards last weekend in his best performance of the season. Aiyuk led the 49ers' receivers in snaps and routes run, and it was his second game of the season where he was targeted ten or more times. With this type of utilization, Aiyuk should remain a strong fantasy option moving forward. San Francisco plays Seattle in Week 6, and the Seahawks have allowed 183 passing yards per game in 2024, seventh best in the league."
Zack Moss,Bengals,RB,6,"Zack Moss split Week 5 work evenly with Chase Brown out of the Cincinnati backfield for the second consecutive week and was held to less than 4.0 yards per carry for the third time in five games this season. The momentum appears to be in Brown's favor, and matters were made worse when Moss suffered a minor ankle injury late in the Bengals' Week 5 loss to the Ravens. Assuming he's able to suit up for a Week 6 matchup against the Giants, Moss remains an RB2/flex option thanks to his work as a pass catcher, as he's now tallied at least three receptions in each of the last three weeks."
Amon-Ra St. Brown,Lions,WR,6,"Amon-Ra St. Brown and the Lions return from a bye to take on the Cowboys in Week 6. The star wide receiver's yardage totals have been somewhat disappointing through the early portion of the 2024 campaign - he had just 45 yards against the Seahawks in Week 4 - but St. Brown has nonetheless managed to make a clear impact with his opportunities. St. Brown scored his second receiving TD of the year Week 4 and also threw a seven-yard touchdown pass to quarterback Jared Goff. Across 16 regular-season appearances in 2023, St. Brown averaged 94.7 receiving yards per game, a mark that has declined to 63 yards per game early in the 2024 season. Coming off the bye, St. Brown and offensive coordinator Ben Johnson will look to collaborate on more consistent receiving production going forward."
